[00:03.070 --> 00:20.660]  Welcome back, Cannabis Community.
[00:20.660 --> 00:24.220]  It's time for episode number 279 of the Grow From Your Heart podcast.
[00:24.500 --> 00:28.420]  Your source for cannabis news, education, and conversation. That's right.
[00:28.420 --> 00:30.380]  If you're a new grower, if you're a professional grower,
[00:30.460 --> 00:34.140]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist,
[00:34.220 --> 00:37.100]  or even someone who is just curious about the current state of cannabis,
[00:37.500 --> 00:40.900]  this my friends is the podcast for you. I'm your host.
[00:40.920 --> 00:43.740]  My friends call me Ross DeJeff. I want to thank you guys again for joining me.
[00:44.180 --> 00:46.060]  As always, I need to send a huge thank you.
[00:46.060 --> 00:48.020]  Shout out to my friends in the Mystic Roots band,
[00:48.060 --> 00:51.940]  letting me use their music on my podcast. Big shout out to Kat, Coot,
[00:52.020 --> 00:54.220]  and the entire Mystic Roots crew.
[00:56.100 --> 00:59.780]  Ladies and gentlemen, I am dabbed the fuck out today.
[00:59.820 --> 01:02.620]  It is a happy Saturday afternoon. It's been kind of nice.
[01:02.620 --> 01:05.980]  It's been super cold in Colorado, but today it is a nice sunshiny day.
[01:06.260 --> 01:09.420]  It's still like 50 degrees out there, but that's nice for what it is right now.
[01:10.100 --> 01:14.340]  I am taking some dabs of some Durban poison live resin from CSC.
[01:14.340 --> 01:17.340]  It's the concentrate supply company. I picked it up over at three rivers.
[01:18.140 --> 01:22.700]  It's super saucy. It's got some crystals in it. It tastes freaking amazing.
[01:22.700 --> 01:25.660]  Holy shit. I smoked almost a whole gram. I picked it up last night.
[01:26.060 --> 01:27.860]  I smoked a bunch of dabs out of it last night.
[01:27.860 --> 01:30.140]  I smoked a bunch of dabs out of it today on Instagram live.
[01:30.380 --> 01:33.220]  It will be gone as soon as this podcast ends. I'm going to finish it.
[01:33.700 --> 01:38.540]  Super delicious Durban poison sativa dabs. Got me rambly. The flavor was amazing.
[01:38.540 --> 01:43.300]  It's got my head spinning. I started off the day. Uh, just, I woke up alone at home.
[01:43.300 --> 01:47.220]  There's nobody here. There's just like lazy and bored. It's Saturday.
[01:47.220 --> 01:49.420]  It was nothing going on. It's like, I got to get my fucking head.
[01:49.420 --> 01:52.820]  Woke up, sat some food and got myself moving, chilled out for a little while,
[01:52.820 --> 01:54.620]  handled some chores, did some house stuff.
[01:54.620 --> 01:57.580]  And then I went and got on Instagram live and took a bunch of dabs with
[01:57.580 --> 01:59.860]  everybody on Instagram live. And that really got my brain moving.
[02:00.060 --> 02:03.740]  The Durban poison dabs and the interaction on Instagram live really got my brain
[02:03.740 --> 02:06.060]  firing in the right direction. It worked perfect.
[02:06.140 --> 02:08.420]  So thanks to everybody who was joining me on Instagram live.
[02:08.420 --> 02:10.740]  If you guys that don't follow me on Instagram, I really think you should.
[02:10.940 --> 02:13.180]  It's an IRI underscore genetics on Instagram.
[02:13.180 --> 02:17.540]  I R I E underscore G E N E T I C S on Instagram. Check me out.
[02:17.820 --> 02:21.100]  I do Instagram live videos occasionally and go and talk about whatever's going on
[02:21.100 --> 02:24.460]  with my day. I take some dabs and I ramble. People ask questions. Uh,
[02:24.460 --> 02:27.220]  sometimes I answer those questions in the live feed,
[02:27.220 --> 02:29.900]  but then I'll come back and record them and answer them on the podcast.
[02:29.900 --> 02:33.580]  And that's one of the questions for today actually came from an Instagram live
[02:33.580 --> 02:35.660]  feed, but we'll get to that in just a couple of minutes.
[02:36.340 --> 02:39.060]  What else are we going to talk about? You guys remember,
[02:39.060 --> 02:41.940]  I talked a couple of weeks ago about getting sick ever since I got sick.
[02:42.260 --> 02:46.700]  When I take dabs, I have just been getting wrecked high. Like, Holy shit.
[02:47.060 --> 02:50.780]  I probably smoke half as much hash in the past few days as I used to before I got
[02:50.780 --> 02:53.980]  sick. And I just had this killer chest cold and a head cold.
[02:54.300 --> 02:57.300]  Everybody at the grow got it. It passed around. Everybody around here got sick.
[02:57.300 --> 03:01.300]  But since then I've just been able to get stupid high just off of a couple of
[03:01.300 --> 03:03.900]  dabs. It's been kind of nice. Uh, some,
[03:03.900 --> 03:06.100]  it's kind of not also because my friends will be like,
[03:06.100 --> 03:07.460]  here's a big ass dab and I'll take it.
