[00:14.720 --> 00:17.440]  Welcome back, Cannabis community.
[00:17.440 --> 00:19.240]  It's time for episode number 227
[00:19.240 --> 00:21.160]  of the Grow From Your Heart podcast.
[00:21.160 --> 00:24.760]  Your source for cannabis news, education, and conversation.
[00:24.760 --> 00:25.920]  That's right, if you're a new grower,
[00:25.920 --> 00:27.240]  if you're a professional grower,
[00:27.240 --> 00:29.560]  if you're a new smoker or a dedicated dabber,
[00:29.560 --> 00:31.040]  if you're a cannabis activist,
[00:31.040 --> 00:32.440]  or even someone who's just curious
[00:32.440 --> 00:34.200]  about the current state of cannabis,
[00:34.200 --> 00:37.200]  this, my friends, is the podcast for you.
[00:37.200 --> 00:39.120]  I'm your host, my friends call me Rasta Jeff.
[00:39.120 --> 00:40.920]  I wanna thank you guys again for joining me.
[00:40.920 --> 00:43.040]  As always, I need to send a huge thank you shout out
[00:43.040 --> 00:44.640]  to my friends in the Mystic Roots band
[00:44.640 --> 00:46.960]  for letting me use their music on my podcast.
[00:46.960 --> 00:48.760]  Big shout out to Kat, Koot,
[00:48.760 --> 00:50.720]  and the entire Mystic Roots crew.
[00:52.400 --> 00:54.120]  I did it, Mike, I made it all the way through the intro
[00:54.120 --> 00:56.280]  without a cough, without a wheeze, without a sneeze.
[00:56.280 --> 00:57.560]  Well done, sir.
[00:57.560 --> 00:58.480]  Oh, ladies and gentlemen,
[00:58.480 --> 00:59.560]  welcome to the show, White Mike.
[00:59.560 --> 01:00.480]  Mike is back.
[01:00.480 --> 01:01.520]  What's up, everybody?
[01:01.520 --> 01:02.560]  How you doing today, bro?
[01:02.560 --> 01:03.560]  Doing great.
[01:03.560 --> 01:05.320]  Doing very well, man.
[01:05.320 --> 01:07.760]  Can we announce your new situation on the show here?
[01:07.760 --> 01:08.600]  Can we talk about that?
[01:08.600 --> 01:09.640]  I should've asked you first, I guess.
[01:09.640 --> 01:10.800]  We can do a little bit.
[01:10.840 --> 01:13.640]  Yeah, so most of you folks probably know
[01:13.640 --> 01:15.200]  that I am the lead cultivator.
[01:15.200 --> 01:18.160]  I am the cult leader at Three Rivers Cultivation.
[01:19.360 --> 01:21.760]  And now Mike is officially on board.
[01:21.760 --> 01:24.160]  He is part of the Three Rivers Cultivation team.
[01:24.160 --> 01:25.000]  I'm part of the team now.
[01:25.000 --> 01:25.840]  Part of the cult.
[01:25.840 --> 01:26.680]  Thanks for joining the cult with us.
[01:26.680 --> 01:27.520]  You drank the Kool-Aid.
[01:27.520 --> 01:29.280]  This is the only place that's getting announced too,
[01:29.280 --> 01:30.720]  so feel special for hearing that.
[01:30.720 --> 01:33.400]  Yeah, this is the official announcement.
[01:34.600 --> 01:37.440]  If you wanna stalk Mike on the social medias,
[01:37.440 --> 01:40.560]  you should follow him at Nemopunk15 on Twitter.
[01:41.320 --> 01:42.960]  And you should also check out his Facebook page.
