[00:00.000 --> 00:05.600]  Alright, here we go, welcome back podcast world, I'm your host, my friends call me
[00:05.600 --> 00:10.860]  Rasta Jeff and this is episode 601 of the Grow From Your Heart podcast.
[00:10.860 --> 00:15.000]  In this episode I'm going to answer a Patreon message from our friend Mr. Before we get
[00:15.000 --> 00:18.420]  there, let's do a few shoutouts to a few members of the 710 club.
[00:18.420 --> 00:23.720]  Of course the 710 club are the folks who support us on Patreon at the $7.10 a month level or
[00:23.720 --> 00:24.720]  higher.
[00:24.720 --> 00:27.800]  So with no further ado, let's start off with the big Grow From Your Heart podcast thank
[00:28.360 --> 00:32.020]  you shoutout to my buddy Dave's Not Here, let's send a big thank you shoutout to Egstasy
[00:32.020 --> 00:33.020]  Smoke.
[00:33.020 --> 00:36.220]  I wanna send a big thank you shoutout to Blackbird 76.
[00:36.220 --> 00:39.160]  Let's send a big thank you to my buddy 716 Vibes.
[00:39.160 --> 00:43.000]  Let's send a big Grow From Your Heart podcast thank you shoutout to Grow Mans Stan.
[00:43.000 --> 00:45.380]  Let's follow that up with a big thank you shoutout to Froggle Rock.
[00:45.380 --> 00:48.400]  I want to send a big thank you to Steven D Smith.
[00:48.400 --> 00:51.800]  I want to send a big Grow From Your Heart podcast thank you shoutout to out buddy Gramps
[00:51.800 --> 00:52.800]  Memmell.
[00:52.800 --> 00:54.740]  Let's send a big thank you shoutout to a longtime supporter.
[00:54.740 --> 00:56.400]  Let's send a big thank you to Jon Bendett.
[00:56.400 --> 01:02.240]  Let's send a big thank you to Papa Roney. I want to send a big thank you shout out to Robert and last but certainly not least
[01:02.360 --> 01:07.960]  Let's send a big grow from your heart podcast. Thank you. Shout out to our friend fish ganja guy
[01:08.160 --> 01:12.740]  Big thanks and big shout out to everybody who supports the show on patreon if you are not already
[01:12.840 --> 01:16.300]  Supporting the show and you'd like to learn how to do so. All you have to do is visit
[01:17.080 --> 01:19.080]  www.patreon.com
[01:19.240 --> 01:24.240]  Forward slash grow from your heart all of the information you need to support the show will be right there on the screen
[01:24.560 --> 01:25.360]  And of course
[01:25.360 --> 01:29.480]  I did include a link in the show notes and in the video description to make it nice and easy
[01:29.560 --> 01:34.360]  For all of my friends who might be driving or working or have their hands full in some way
[01:34.480 --> 01:37.720]  Thank you guys for all the patreon support. I do appreciate it. Today's
[01:38.240 --> 01:43.260]  Podcast does come from a patreon contributor. They did send me a very nice set of questions
[01:43.260 --> 01:47.080]  So with no further ado, let's just jump right into it. This one comes from our friend
[01:47.080 --> 01:47.520]  Mr
[01:47.520 --> 01:54.800]  And it says growers love and greetings and salutations to you white Mike and all of the irie army big salute to the full
[01:54.800 --> 02:00.640]  Irie army. Thank you for joining us. Mr. This is a great question. It goes on to say what a year
[02:00.640 --> 02:05.640]  I have developed a pair of green thumbs. I celebrated being a 20-year cancer survivor
[02:06.200 --> 02:10.440]  Congratulations, brother. It says I was 24 when I was diagnosed. I'm glad you're making it this far
[02:10.440 --> 02:13.440]  Keep killing it if we can do anything, let us know it goes on
[02:13.440 --> 02:18.840]  It says I continue my life journey now having over 18 months without any form of pain pills
[02:19.000 --> 02:24.480]  So it sounds like with cannabis we have eliminated pain pills from mrs. Life and it has been over 18 months
[02:25.240 --> 02:29.280]  Congratulations. That is a huge improvement in life. That's a huge step. Keep going
[02:29.280 --> 02:33.620]  Like I said before if you need anything, just let us know we'll do our best to help you out now
[02:33.620 --> 02:37.160]  It says my questions this month are vast and various
[02:37.160 --> 02:39.480]  Let's turn down some of this music and get right to mrs
[02:39.800 --> 02:44.600]  Questions because he does have a lot of them this could take a minute it says for 2021
[02:44.600 --> 02:48.440]  I mean I am interested in obtaining a cannabis horticultural
[02:48.840 --> 02:55.120]  Certificate something like oakster damn live or an online class and I'm interested in your thoughts about a novice cultivator
[02:55.120 --> 03:01.960]  Or someone wanting to get into the cannabis industry and looking into any cannabis college. That is a great question
[03:01.960 --> 03:03.960]  There are a lot of online
[03:04.120 --> 03:09.240]  Cannabis education programs available during Kovach. I'm sure all of them are online before Kovach
[03:09.240 --> 03:11.640]  You could go to cloverleaf. You could go to oakster. Damn
[03:11.640 --> 03:17.220]  There are a couple other accredited cannabis universities, which you could attend and get a cannabis education
[03:17.440 --> 03:19.680]  You can get a general cannabis education
[03:19.680 --> 03:22.960]  Then they do have more focused classes where you can learn about bud tending
[03:23.200 --> 03:28.360]  Cultivating the back end of the business the tax end of the business the legal aspects of the business
[03:28.360 --> 03:31.760]  They will teach you so many things in these college classes. I
[03:32.480 --> 03:37.120]  Am all about continuing education. I'm here to educate. I'm here to teach people
[03:37.120 --> 03:42.440]  I'm all about furthering your education broadening your horizons setting yourself up for success
[03:43.240 --> 03:48.020]  Education is key. However, sometimes those places will teach you bad habits
[03:48.080 --> 03:51.200]  So go to those classes with an open mind
[03:51.360 --> 03:56.120]  Understand that the things they are not teaching you are not the only way to do things. That is a problem
[03:56.120 --> 04:01.400]  I see a lot of cultivators have that come from those types of facilities or come from even college courses or
[04:01.760 --> 04:05.120]  Another facility they were taught that this is how I cut clones
[04:05.200 --> 04:10.240]  So this is the only way we can cut clones and if you come to work for me
[04:10.240 --> 04:15.000]  You're gonna cut clones the way I teach you and the way they taught you in Amsterdam may be way different
[04:15.000 --> 04:18.640]  And I don't want to hear you arguing with me that well in Amsterdam. We did our at oakster
[04:18.640 --> 04:19.640]  Damn, we did it this way
[04:19.640 --> 04:23.440]  I'm gonna fire you because I don't care we do it this way at my girl and it works this way
[04:23.440 --> 04:27.480]  I'll listen to you once we did it this way at oakster. Damn. Cool
[04:27.480 --> 04:31.640]  I've heard you now quit trying to change our ways and let's do it the way we've written SOPs for
[04:31.760 --> 04:34.520]  And the way we've got it dialed in here in this cultivation facility
[04:34.520 --> 04:35.920]  So I do like the schooling
[04:35.920 --> 04:40.320]  But keep an open mind that it is not the only way to do things what they teach you
[04:40.320 --> 04:41.960]  There is a way to do things
[04:41.960 --> 04:48.560]  You'll get a very vast and deep understanding of the plants of the plant functions of ways to take care of the plants the processes
[04:48.560 --> 04:50.120]  of the plants
[04:50.120 --> 04:54.240]  Environmental tips and all kinds of things that I probably don't even know but at the same time
[04:54.240 --> 04:54.880]  I
[04:54.880 --> 04:57.760]  Like to be able to train somebody that comes into a facility
[04:58.040 --> 05:02.080]  To work in my facility the way I need it done a little bit of plant knowledge is cool
[05:02.080 --> 05:07.280]  But if you go to one of those universities and learn too much, you know, just enough to fuck something up in my grow
[05:07.280 --> 05:09.280]  So if you do go to that
