[00:11.450 --> 00:19.760]  Welcome back, Cannabis community.
[00:19.760 --> 00:23.000]  It's time for episode number 148 of the Grow From Your Heart podcast.
[00:23.160 --> 00:26.360]  Your source for cannabis news, education, and conversation.
[00:26.840 --> 00:28.960]  So that if you're a new grower, if you're a professional grower,
[00:29.160 --> 00:32.620]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist,
[00:32.620 --> 00:35.040]  or even someone who's just curious about the current state of cannabis,
[00:35.080 --> 00:39.960]  this my friends is the podcast for you. I'm your host,
[00:39.960 --> 00:42.560]  my friends call me Ross DeGeff. I want to thank you guys again for joining me.
[00:42.880 --> 00:44.400]  As always, I want to send a huge thank you.
[00:44.400 --> 00:47.200]  Shout out to my friends in the Mystic Roots band for letting me use their music
[00:47.200 --> 00:52.120]  on my podcast. Big thanks to Kat, Koot, and the entire Mystic Roots crew.
[00:53.160 --> 00:55.480]  I hope everybody's having a great week. Ladies and gentlemen,
[00:55.480 --> 00:57.800]  this episode features myself and our buddy White Mike.
[00:58.120 --> 00:59.840]  Make sure you follow White Mike's Facebook page,
[00:59.880 --> 01:01.480]  Pueblo for sensible cannabis laws.
[01:01.480 --> 01:04.840]  Make sure you support all the sensible cannabis laws. You guys,
[01:04.840 --> 01:07.240]  I don't want to do too long of an intro. I'm just going to let the music play.
[01:07.320 --> 01:09.440]  I'm going to get right back. I'll be joined by our good friend,
[01:09.440 --> 01:10.280]  White Mike. Hang out.
[01:21.680 --> 01:24.720]  I think that's how the podcast is going to start is with a big fat fuck blue
[01:24.720 --> 01:28.320]  dream. Uh, so, uh, you guys, we are back. We're here.
[01:28.920 --> 01:31.760]  It's going to say at the studio. Is this, can this officially be a studio?
[01:31.840 --> 01:34.760]  I think when all the gears out, we can call it a studio. I think that's fair.
[01:35.200 --> 01:38.560]  So today we've got the pocket studio. We're recording on the, we are recording.
[01:38.560 --> 01:41.640]  My mouth is fucking high. My brain's not as high as my mouth. I think.
[01:42.040 --> 01:44.560]  Uh, we're recording on the zoom H six handy recorder. You guys,
[01:44.560 --> 01:45.640]  I'm doing a little test run.
[01:45.640 --> 01:48.360]  I want to make sure that I've got this figured out because I'm going to go
[01:48.360 --> 01:49.680]  record with dab and granny again.
[01:49.680 --> 01:53.240]  So here on the podcast with me in the, uh, the makeshift pocket studio is our
[01:53.240 --> 01:54.720]  buddy. White Mike. Welcome back, bro.
[01:54.920 --> 01:57.960]  Thanks man. Uh, let's do this part that I always like to do.
[01:57.960 --> 01:59.720]  Tell everybody that's listening, uh,
[01:59.760 --> 02:02.480]  where they can stalk you on social media so that they can check you out while
[02:02.480 --> 02:03.320]  they're listening.
[02:03.520 --> 02:07.320]  A Pueblo for sensible cannabis laws on Facebook and, uh,
[02:07.360 --> 02:09.320]  at Nemo punk 15 on Twitter.
[02:09.600 --> 02:11.760]  Pueblo for sensible cannabis laws.
[02:11.760 --> 02:14.040]  What kind of stuff are we going to see if we go to the Pueblo for sensible
[02:14.040 --> 02:15.280]  cannabis laws, Facebook page?
[02:15.320 --> 02:19.280]  Um, pretty much any marijuana news related event I can find that's,
[02:19.400 --> 02:22.600]  even remotely relevant to the U S gets linked up there.
[02:22.760 --> 02:25.120]  I appreciate what you do for the cannabis industry and for the cannabis
[02:25.120 --> 02:25.960]  community.
[02:26.120 --> 02:26.720]  Thank you, man.
[02:26.720 --> 02:29.800]  Uh, I'm not, I'm a working man and I'm always at a grow.
[02:29.800 --> 02:32.640]  Anybody that listens to the podcast regularly knows that, uh,
[02:32.640 --> 02:37.280]  I am the lead cultivator of a hundred light facility. So that keeps me busy.
[02:37.280 --> 02:41.480]  I've got a day job. Most of the politics happens during the day.
[02:42.040 --> 02:45.040]  So when there's politicking to be done, when there's a,
[02:45.400 --> 02:48.560]  people have to go to city council meetings and speak and show support when that
[02:48.560 --> 02:49.640]  stuff is to be done.
[02:49.680 --> 02:53.520]  Mike is the guy that goes and does that in my my place because I am stuck at the
[02:53.520 --> 02:55.920]  grow. So thanks for doing that kind of stuff.
[02:55.920 --> 02:58.320]  Thanks for having a Facebook page to keep our community together.
[02:58.320 --> 03:00.600]  Thanks to all the people that help with Mike, uh,
[03:00.640 --> 03:03.600]  Mike's organizations and all the people that join up with Mike to go to all
[03:03.600 --> 03:06.720]  these rallies, to go protest things. Big shout out to all those people.
[03:06.920 --> 03:10.840]  If there are a couple of pro, uh, uh, what's the word activists in town?
