[00:01.080 --> 00:22.440]  Alright, here we go. Welcome to the show podcast world. I'm your host. My friends call me Rasta
[00:22.440 --> 00:29.120]  Jeff. This is episode 770 of the Grow From Your Heart podcast. In this episode, I'm going
[00:29.120 --> 00:33.400]  to focus on a couple of Patreon questions. Before I get to that part of the show, let's
[00:33.400 --> 00:37.840]  do a few shout outs to a few of those great folks who continue to support the show on
[00:37.840 --> 00:42.640]  Patreon. Let's kick it off with a big Grow From Your Heart podcast thank you shout out
[00:42.640 --> 00:46.840]  to one of my favorite photographers, my friend Levity Loveday. Let's send a fist bump and
[00:46.840 --> 00:51.100]  a thank you shout out to Crafted Flower and Quazi. Let's send a big fist bump to the hardest
[00:51.100 --> 00:55.120]  working man in cannabis, my friend James Brown. Let's send a big thank you shout out to Froggle
[00:55.120 --> 01:01.360]  Rock and G7. Let's send a fist bump and a high five to Turt Burglar and D09419. I want
[01:01.360 --> 01:05.020]  to send a special thank you shout out to my friend Danny Potts. Let's send a big thank
[01:05.020 --> 01:09.020]  you shout out to Green Goblin Grows and Trollin. Let's send a big thank you to Green County
[01:09.020 --> 01:13.120]  Grower. Then I want to wrap it all up with a big Grow From Your Heart podcast thank you
[01:13.120 --> 01:19.300]  shout out to Operation High Vibes. Big thanks and big shout out to everybody who continues
[01:19.300 --> 01:23.580]  to support the show on Patreon. If you are not already supporting the show and you would
[01:23.580 --> 01:30.460]  like to learn how to do so, all you have to do is visit www.patreon.com forward slash
[01:30.460 --> 01:34.580]  grow from your heart. All of the information you need will be right there on the screen.
[01:34.580 --> 01:38.580]  And you know I do include a link in the show notes and in the video description to make
[01:38.580 --> 01:44.340]  it super easy for all of my friends to support the podcast. If you are watching on the YouTube
[01:44.340 --> 01:48.660]  video, which I do highly encourage, you may have noticed I'm rocking one of the brand
[01:48.660 --> 01:53.500]  new IRIE Genetics logo t-shirts. That's right. I put the cross logo, the red, golden, green
[01:53.500 --> 01:58.360]  cross logo on a black t-shirt. In my opinion, it looks super sharp. I think these colors
[01:58.360 --> 02:03.100]  pop quite well on the black t-shirt. You can get yours on my website. There is a link in
[02:03.100 --> 02:07.420]  the show notes and in the video description. Or simply search IRIE Genetics. Go to the
[02:07.420 --> 02:11.940]  IRIE Genetics website. Click on the merch tab. That will get you to the merch store.
[02:11.940 --> 02:17.780]  You can get your fresh new IRIE Genetics t-shirts. Also, I will be taking pre-orders for hoodies
[02:17.780 --> 02:22.100]  with the same logo very soon. Probably by the time this episode comes out, there will
[02:22.100 --> 02:27.180]  be pre-orders available on the same website to get your hoodies for the winter.
[02:27.180 --> 02:32.140]  Alright, let's not waste too much time. Let's jump into the main topic of today's podcast.
[02:32.140 --> 02:37.060]  At the top of the show, I did say that I was going to focus on Patreon questions. Recently,
[02:37.060 --> 02:42.940]  I posted to Patreon that I was going to eat too many edibles and do a Patreon only episode
[02:42.940 --> 02:48.340]  where I answered non-Grow questions, maybe Grow questions about myself, about my personal
[02:48.340 --> 02:52.420]  life, maybe the music I'm into, maybe some of my past or my history. I opened it up so
[02:52.420 --> 02:57.260]  that the patrons can ask any questions they felt comfortable asking. Something I don't
[02:57.260 --> 03:01.580]  want to do is do a Patreon episode where I answer a bunch of great Grow questions and
