[00:17.080 --> 00:19.640]  Welcome back, Cannabis community.
[00:19.640 --> 00:21.640]  It's time for episode number 185
[00:21.640 --> 00:23.480]  of the Grow From Your Heart podcast.
[00:23.480 --> 00:27.140]  Your source for cannabis news, education, and conversation.
[00:27.140 --> 00:28.280]  That's right, if you're a new grower,
[00:28.280 --> 00:29.640]  if you're a professional grower,
[00:29.640 --> 00:32.000]  if you're a new smoker or a dedicated dabber,
[00:32.000 --> 00:34.000]  if you're a cannabis activist or even someone
[00:34.000 --> 00:36.680]  who's just curious about the current state of cannabis,
[00:36.680 --> 00:38.960]  this, my friends, is the podcast for you.
[00:39.960 --> 00:41.880]  I'm your host, my friends call me Rasta Jeff.
[00:41.880 --> 00:43.800]  I wanna thank you guys again for joining me.
[00:43.800 --> 00:46.000]  As always, I need to send a huge thank you shout out
[00:46.000 --> 00:47.560]  to my friends in the Mystic Roots band
[00:47.560 --> 00:50.280]  for letting me use their music on my podcast.
[00:50.280 --> 00:51.840]  Big shout out to Kat, Koot,
[00:51.840 --> 00:54.100]  and the entire Mystic Roots crew.
[00:56.000 --> 00:57.440]  I hope everybody's having a great week.
[00:57.440 --> 00:59.520]  I hope I'm starting off your Monday properly
[00:59.520 --> 01:01.560]  or whatever day you choose to listen to this.
[01:01.560 --> 01:02.880]  Most people listen on Mondays.
[01:02.880 --> 01:04.760]  I like to get the week started
[01:04.760 --> 01:06.860]  because I am having a fantastic week.
[01:08.060 --> 01:09.680]  Wednesday was my birthday.
[01:09.680 --> 01:10.540]  I had a good time at work.
[01:10.540 --> 01:12.040]  All my friends were having a fun time with me,
[01:12.040 --> 01:14.200]  wishing me a happy birthday.
[01:14.200 --> 01:16.520]  But after work, I got to go to a party.
[01:16.520 --> 01:19.440]  The lovely Jenny Beth organized a party for me.
[01:19.440 --> 01:21.760]  I showed up at Jenny Beth's house to pick her up for dinner.
[01:21.760 --> 01:23.040]  And when I walked in, I was greeted
[01:23.040 --> 01:25.240]  with the classic surprise.
[01:25.240 --> 01:27.360]  So I got a big old surprise party.
[01:27.360 --> 01:28.300]  Let's see who was there.
[01:28.300 --> 01:30.600]  White Mike was there, big shout out to White Mike.
[01:30.600 --> 01:32.700]  Chris and Lindsey, also known as the Traveling Stoner
[01:32.700 --> 01:34.840]  and Bobo Blaster Co., they were there.
[01:34.840 --> 01:37.400]  Will and Rachel, the Barefoot Couple were there.
[01:37.400 --> 01:38.500]  Jesse and Burn showed up.
[01:38.500 --> 01:41.000]  And of course, the lovely and beautiful Jenny Beth was there.
[01:41.000 --> 01:43.280]  And also, yo, I got to see Mick the Dog, you guys.
[01:43.280 --> 01:44.600]  I haven't seen Mick the Dog in a little bit,
[01:44.600 --> 01:46.320]  so it was great to hang out with Mick the Dog.
[01:46.320 --> 01:48.520]  Got to scratch him a little bit.
[01:48.520 --> 01:49.920]  It was good seeing that dude.
[01:49.920 --> 01:51.760]  A big shout out to everybody that came to my birthday party.
[01:51.760 --> 01:53.520]  I really appreciate each and every one of you guys.
[01:53.520 --> 01:55.200]  It was awesome to walk into a surprise party
[01:55.200 --> 01:57.400]  and see all my friends hanging out.
[01:57.400 --> 01:59.320]  Big, huge shout out to Jenny Beth
[01:59.320 --> 02:01.040]  for organizing the birthday party,
[02:01.040 --> 02:02.720]  for putting together food.
[02:02.720 --> 02:05.680]  You guys, Jenny Beth made sure that everybody
[02:05.680 --> 02:07.600]  had a bunch of medicated food.
[02:07.600 --> 02:09.680]  And she had some cupcakes made
[02:09.680 --> 02:12.320]  that were decorated to look like vaginas.
[02:12.320 --> 02:15.400]  So at the end of the night, everybody ate a little vagina.
[02:15.400 --> 02:16.880]  So big shout out to everybody that came to the party.
[02:16.880 --> 02:18.080]  Super huge shout out to Jenny Beth
[02:18.080 --> 02:19.960]  for throwing me a surprise birthday party.
[02:19.960 --> 02:20.800]  Thank you very much.
[02:20.800 --> 02:22.040]  I love you to death.
[02:22.040 --> 02:22.880]  I appreciate it.
[02:22.880 --> 02:24.560]  Also, big, huge thank you.
[02:24.560 --> 02:27.160]  Huge shout out to everybody who wished me a happy birthday,
[02:27.160 --> 02:29.480]  whether it was on Twitter, if it was through a text,
[02:29.480 --> 02:32.080]  if it was an email, if you did it on Facebook, Instagram,
[02:32.080 --> 02:33.680]  however you wished me a birthday wish.
[02:33.680 --> 02:35.160]  Thank you, I appreciate it.
[02:35.160 --> 02:36.120]  I had a great birthday.
[02:36.120 --> 02:38.160]  I'm still having a great birthday weekend.
[02:38.160 --> 02:39.560]  I had a good birthday dinner tonight.
[02:39.560 --> 02:41.280]  Hung out with JB a little bit.
[02:41.280 --> 02:43.080]  Now I'm recording a podcast for all my friends.
[02:43.080 --> 02:44.680]  So things are going very well.
[02:44.680 --> 02:49.400]  Also, Tim from Organica from New Mexico stopped by.
[02:49.400 --> 02:51.420]  I don't know if he knew it was my birthday week or not,
[02:51.420 --> 02:54.640]  but he was giving me a dab and he put a carb cap on my rig.
[02:54.640 --> 02:56.880]  And I said, oh, that carb cap fits on that rig
[02:56.880 --> 02:58.800]  better than any cap I've ever put on it.
[02:58.800 --> 03:00.560]  And he said, good, because it's yours.
[03:00.560 --> 03:03.760]  So big shout out to Tim for this dope new carb cap.
[03:03.760 --> 03:05.200]  It fits perfectly on my banger
[03:05.200 --> 03:08.560]  and it gives me a really super sweet dab.
[03:08.560 --> 03:09.800]  Tim and I were talking,
[03:09.800 --> 03:11.880]  because my friend Tim is from New Mexico.
[03:11.880 --> 03:14.480]  He is, you know, I don't know his exact title
[03:14.480 --> 03:15.400]  to tell you the truth.
[03:15.400 --> 03:18.120]  He is a very high position with a dispensary
[03:18.120 --> 03:21.800]  known as Organica in Albuquerque, New Mexico.
[03:21.800 --> 03:23.040]  If you are in New Mexico
[03:23.040 --> 03:25.320]  and you are a medical marijuana patient in New Mexico,
[03:25.320 --> 03:27.280]  I can highly recommend Organica.
[03:27.280 --> 03:29.600]  Organica has several great strains.
[03:29.600 --> 03:31.360]  This is not an ad, you guys.
[03:31.360 --> 03:32.600]  This is just how I feel.
[03:32.600 --> 03:35.720]  Organica has Arise on the shelves most of the time.
[03:35.720 --> 03:38.960]  Their Arise has tested at 32% THC.
[03:39.000 --> 03:40.000]  So you might wanna try that
[03:40.000 --> 03:42.920]  if you're a New Mexico medical marijuana patient.
[03:42.920 --> 03:44.280]  They've got Zach Hayes.
[03:44.280 --> 03:46.040]  Zach Hayes is named after a friend of ours
[03:46.040 --> 03:48.960]  who unfortunately passed away of cystic fibrosis,
[03:48.960 --> 03:50.560]  but he has got a strain named after him.
[03:50.560 --> 03:53.240]  So he will live forever within the cannabis community.
[03:53.240 --> 03:54.080]  Big shout out to Zach.
[03:54.080 --> 03:56.080]  Much love, missy little brother.
[03:56.080 --> 03:57.520]  But here's what I was getting at
[03:57.520 --> 04:00.320]  with my talk about Organica in New Mexico.
[04:00.320 --> 04:01.680]  A friend of mine was talking about
[04:01.680 --> 04:03.560]  needing medical marijuana in New Mexico.
