[00:17.850 --> 00:20.410]  Welcome back cannabis community.
[00:20.410 --> 00:22.090]  It's time for episode number 138
[00:22.090 --> 00:23.690]  of the Grow From Your Heart podcast.
[00:23.690 --> 00:27.590]  Your source for cannabis news, education, and conversation.
[00:27.590 --> 00:28.750]  That's right, if you're a new grower,
[00:28.750 --> 00:30.070]  if you're a professional grower,
[00:30.070 --> 00:32.470]  if you're a new smoker or a dedicated dabber,
[00:32.470 --> 00:34.490]  if you're a cannabis activist or even someone
[00:34.490 --> 00:37.010]  who's just curious about the current state of cannabis,
[00:37.010 --> 00:39.770]  this my friends is the podcast for you.
[00:39.770 --> 00:41.650]  I'm your host, my friends call me Rasta Jeff.
[00:41.650 --> 00:43.570]  I wanna thank you guys again for joining me.
[00:43.570 --> 00:45.730]  As always, I need to send a huge thank you shout out
[00:45.730 --> 00:47.410]  to my friends in the Mystic Roots band
[00:47.410 --> 00:49.850]  for letting me use their music on my podcast.
[00:49.850 --> 00:53.450]  Big shout out to Kat, Coot, and the entire Mystic Roots crew.
[00:55.330 --> 00:56.930]  Last night, the Mystic Roots band played
[00:56.930 --> 00:58.410]  at the Black Sheep in Colorado Springs
[00:58.410 --> 00:59.890]  and it was a great show.
[00:59.890 --> 01:03.210]  I had a great time, I danced my ass off, I sang my ass off.
[01:03.210 --> 01:04.410]  The Mystic Roots band came out
[01:04.410 --> 01:06.130]  and they played their first song
[01:06.130 --> 01:08.090]  and then they dedicated their second song
[01:08.090 --> 01:09.650]  to Irie Genetics and myself.
[01:09.650 --> 01:11.610]  And that song was Pass the Marijuana.
[01:11.610 --> 01:13.650]  So big shout out to my friends in the Mystic Roots.
[01:13.650 --> 01:14.890]  Thanks for putting on a great show.
[01:14.890 --> 01:16.890]  Thanks for making me feel like a VIP.
[01:16.890 --> 01:17.810]  I had a great ass time.
[01:17.810 --> 01:19.890]  Also, big shout out to Catchafaya.
[01:19.890 --> 01:21.970]  And also a big thanks to everyone at the Black Sheep
[01:21.970 --> 01:23.410]  for letting us get down in there.
[01:23.410 --> 01:25.010]  There may have been some ganja smoking
[01:25.010 --> 01:26.490]  and nobody tried to stop us.
