[00:12.600 --> 00:21.270]  Welcome back, Cannabis Community.
[00:21.270 --> 00:25.030]  It's time for episode number 171 of the Grow From Your Heart podcast.
[00:25.030 --> 00:27.550]  Your source for cannabis news, education, and conversation.
[00:27.550 --> 00:28.550]  That's right.
[00:28.550 --> 00:32.190]  If you're a new grower, if you're a professional grower, if you're a new smoker or a dedicated
[00:32.190 --> 00:36.310]  dabber, if you're a cannabis activist or even someone who's just curious about the current
[00:36.310 --> 00:40.790]  state of cannabis, this, my friends, is the podcast for you.
[00:40.790 --> 00:44.550]  I'm your host, my friends call me Ross DeGeffo, and thank you guys again for joining me.
[00:44.550 --> 00:47.790]  As always, I need to send a huge thank you shout out to my friends in the Mystic Roots
[00:47.790 --> 00:50.510]  band for letting me use their music on my podcast.
[00:50.510 --> 00:54.230]  Big shout out to Kat, Kud, and the entire Mystic Roots crew.
[00:54.230 --> 00:55.230]  Yeah.
[00:55.230 --> 00:58.950]  Ladies and gentlemen, across the table from me, the repeat offender, returning champion,
[00:58.950 --> 01:00.430]  ladies and gentlemen, White Mike is back.
[01:00.430 --> 01:01.430]  What's up, everybody?
[01:01.430 --> 01:02.430]  Thanks for joining me, bro.
[01:02.430 --> 01:03.430]  Yeah, man.
[01:03.430 --> 01:07.110]  If you guys want to stalk White Mike while you're listening to him, make sure you follow
[01:07.110 --> 01:08.430]  him on Twitter.
[01:08.430 --> 01:10.510]  It's at NemoPunk15.
[01:10.510 --> 01:13.350]  Also remind everybody how they can check out your Facebook group.
[01:13.350 --> 01:15.910]  It's Pueblo for Sensible Cannabis Laws on Facebook.
[01:15.910 --> 01:17.030]  Check us out, folks.
[01:17.030 --> 01:18.750]  Pueblo for Sensible Cannabis Laws on Facebook.
[01:18.750 --> 01:20.950]  Mike, I'm going to turn your microphone up for some reason.
[01:20.950 --> 01:21.950]  Do it.
[01:21.950 --> 01:22.950]  Bring me up a little bit.
[01:22.950 --> 01:23.950]  I may be getting a head cold.
[01:23.950 --> 01:24.950]  Something sounds a little muffly.
[01:24.950 --> 01:25.950]  I apologize, listeners, if it's muffly.
[01:25.950 --> 01:26.950]  I hope it's just my head.
[01:26.950 --> 01:28.510]  Is it in your head or is it in the gear?
[01:28.510 --> 01:31.510]  Yeah, I'm thinking it's in the headphones because the music sounds good, but my voice
[01:31.510 --> 01:32.510]  sounds stupid.
[01:32.510 --> 01:33.950]  So it's just my head.
[01:33.950 --> 01:34.950]  I apologize for that, folks.
[01:34.950 --> 01:36.670]  I'm going to get over it and we're going to do a podcast.
[01:36.670 --> 01:37.670]  Thanks for joining me, dude.
[01:37.670 --> 01:38.670]  Yeah, man.
[01:38.670 --> 01:42.750]  Make sure you guys support Mike on the Twitter and follow Pueblo for Sensible Cannabis Laws.
[01:42.750 --> 01:44.990]  Check out what he's posting there on Facebook.
[01:44.990 --> 01:47.230]  We truly appreciate the cannabis advocates.
[01:47.230 --> 01:49.030]  Dude, did you hear Granny give you a shout out?
[01:49.030 --> 01:50.030]  I did.
[01:50.030 --> 01:51.030]  I did.
[01:51.030 --> 01:52.190]  I appreciate that, Granny.
[01:52.190 --> 01:55.270]  It was fun meeting you the one time we got to meet at Candy Canyon and I can't wait until
[01:55.270 --> 01:56.830]  we run into each other again.
[01:56.830 --> 01:58.750]  I will get you guys here together on this podcast.
[01:58.750 --> 01:59.750]  It'll be a good time.
[01:59.750 --> 02:00.750]  Right.
[02:00.750 --> 02:01.750]  I'll do my best.
[02:01.750 --> 02:02.750]  Sounds good to me.
[02:02.750 --> 02:03.750]  She will get you high as giraffe pussy.
[02:03.750 --> 02:04.750]  Oh, Granny's awesome.
[02:04.750 --> 02:06.990]  This is the basket of magic.
[02:06.990 --> 02:07.990]  The basket, yes.
[02:08.310 --> 02:09.310]  I'm going to put Granny in her basket of magic.
[02:09.310 --> 02:10.310]  Yep.
[02:10.310 --> 02:11.750]  Granny got to meet Action Bronson the other day.
[02:11.750 --> 02:15.110]  That was one of the coolest photos I've ever seen, dabbing Granny in Action Bronson.
[02:15.110 --> 02:17.470]  So shout out to dabbing Granny.
[02:17.470 --> 02:20.110]  Also since we're doing shout outs, I need to give a huge shout out to my friends at
[02:20.110 --> 02:21.110]  Handmade Apparel.
[02:21.110 --> 02:22.110]  That's right.
[02:22.110 --> 02:26.750]  If you guys need any sort of t-shirt printing, some stickers, some hat pins, you guys, I
[02:26.750 --> 02:30.250]  fully endorse and support my friends at Handmade Apparel.
[02:30.250 --> 02:33.470]  Check out handmadeapparel.biz or check them out on Facebook.
[02:33.470 --> 02:35.590]  There's a Facebook group and a Facebook page.
[02:35.590 --> 02:38.630]  Hey guys, they printed me some Grow From Your Heart podcast hoodies.
[02:38.630 --> 02:40.750]  They've printed my iRegenetics t-shirts.
[02:40.750 --> 02:43.350]  I've got a bright red handmade apparel hoodie.
[02:43.350 --> 02:45.550]  I've got a green handmade apparel hoodie.
[02:45.550 --> 02:46.630]  I've got hat pins.
[02:46.630 --> 02:51.350]  I've got stickers that these folks made and everything is top quality.
[02:51.350 --> 02:53.610]  It's made in America by Americans.
[02:53.610 --> 02:55.310]  It's made by dab kids who take dabs.
[02:55.310 --> 02:57.330]  They dab just as hard as you and I do.
[02:57.330 --> 02:58.990]  So I think it's great to support the community.
[02:58.990 --> 03:02.350]  I think it's great to support our friends that are doing this with us.
[03:02.350 --> 03:03.670]  I really like these people.
[03:03.670 --> 03:05.370]  They're good friends of mine and they make great shit.
[03:06.150 --> 03:08.130]  So please support them as much as I do.
[03:08.130 --> 03:09.850]  Handmade for all your printing needs.
[03:09.850 --> 03:13.290]  You can get that sweet handmade apparel logo on the side of your shirt like I've got.
[03:13.290 --> 03:14.930]  We could all be in the same handmade gang.
[03:14.930 --> 03:15.930]  It's pretty awesome.
[03:15.930 --> 03:18.370]  Big shout out to the Handmade crew.
[03:18.370 --> 03:21.050]  Ladies and gentlemen, go to handmadeapparel.biz and check them out.
[03:21.050 --> 03:22.090]  Get some stuff printed.
[03:22.090 --> 03:24.890]  I'm a big fan of the quality.
[03:24.890 --> 03:30.650]  Typically shirts that are printed with logos and stuff, the logo goes first.
[03:30.650 --> 03:34.290]  All of my handmade stuff, the shirt is going a little before the logo.
[03:34.290 --> 03:35.690]  The logo still looks fresh.
[03:35.690 --> 03:39.170]  You know, I wear, if you know me, I'm kind of a cartoon character is what they call me.
[03:39.170 --> 03:42.650]  I've got a hoodie with the IRIE Genetics logo and I take off my hoodie and underneath that
[03:42.650 --> 03:43.650]  is an IRIE Genetics t-shirt.
[03:43.650 --> 03:46.210]  Right, it's the exact same logo in a different shirt.
[03:46.210 --> 03:49.890]  I've been wearing probably, I have not thrown any of them away.
[03:49.890 --> 03:54.210]  I've been rocking these t-shirts for probably five years now and from the first one, I have
[03:54.210 --> 03:55.210]  not thrown it away.
[03:55.210 --> 03:56.330]  The logo is still crispy.
[03:56.330 --> 04:00.490]  The shirt, however, is getting that black shirt dinge to it, but the logo looks like
[04:00.490 --> 04:01.490]  it was freshly painted.
[04:01.490 --> 04:02.490]  It looks sweet.
[04:02.490 --> 04:04.210]  I mean, it can only hold up for so long.
[04:04.250 --> 04:08.610]  I mean, I've beaten the living hell out of mine and the logo still looks fresh.
[04:08.610 --> 04:09.610]  They're sweet shirts.
[04:09.610 --> 04:11.050]  So I think we've given them a huge shout out.
[04:11.050 --> 04:13.770]  Big thanks to my friends at Handmade Apparel for all the stuff they've printed.
[04:13.770 --> 04:16.290]  You guys, they have the best rates for hat pins.
[04:16.290 --> 04:18.690]  If you're getting your hat pins made, go through Handmade Apparel.
[04:18.690 --> 04:20.290]  I went through, I tried a lot of companies.
[04:20.290 --> 04:22.010]  Handmade Apparel was the most reliable.
[04:22.010 --> 04:26.370]  They do the artwork in-house and they have the pins made so it's all one group so you
[04:26.370 --> 04:29.050]  don't have to have different people working together and fucking you up.
[04:29.050 --> 04:30.610]  They do great artwork.
[04:30.610 --> 04:31.610]  I love those guys.
[04:31.610 --> 04:32.610]  So shout out.
[04:32.610 --> 04:33.610]  Much respect.
[04:33.930 --> 04:35.810]  All that stuff to our friends at Handmade Apparel.
[04:35.810 --> 04:36.810]  Make sure you check them out.
[04:36.810 --> 04:37.810]  HandmadeApparel.biz.
[04:37.810 --> 04:38.810]  I think I've said that enough times.
[04:38.810 --> 04:42.210]  What else do you want to chatter about before we get into our main topic, Mike, or do you
[04:42.210 --> 04:43.770]  want to jump into the-
[04:43.770 --> 04:49.890]  It's, uh, it feels like so much has happened since the last time I was on here.
[04:49.890 --> 04:51.450]  Lots of stuff's happened since the election.
[04:51.450 --> 04:53.270]  We should probably just dive right into the show.
[04:53.270 --> 04:56.710]  Let's go to, yeah, let's start off with the letter from the DEA that came out just a couple
[04:56.710 --> 05:00.450]  of days ago and then we will do, if we have time for it, we will do a couple of election
[05:00.450 --> 05:02.410]  updates because I know you love getting to that.
[05:02.410 --> 05:04.330]  A lot of listeners have asked for longer lessons.
[05:04.330 --> 05:05.330]  That was me clapping.
[05:05.330 --> 05:06.330]  I don't clap like that.
[05:06.330 --> 05:07.330]  Why did I do that?
[05:07.330 --> 05:10.530]  Yeah, listeners, a lot of listeners are like, hey bro, I want a longer episode.
[05:10.530 --> 05:11.970]  You guys, I've taken on a new project.
[05:11.970 --> 05:13.970]  I don't talk a lot about this project that I'm doing.
[05:13.970 --> 05:19.610]  I've kind of kept it on the down low, but it keeps me busy for 45 or 50 hours a week.
[05:19.610 --> 05:21.610]  So I haven't been doing two podcast episodes.
[05:21.610 --> 05:22.610]  I apologize.
[05:22.610 --> 05:26.530]  I'm going to do my best to get longer episodes and I know that the past couple episodes have
[05:26.530 --> 05:28.690]  been a little not as informative.
[05:28.690 --> 05:30.410]  I was over fucking whelmed, you guys.
[05:30.410 --> 05:31.410]  It's the holiday season.
[05:31.410 --> 05:33.810]  It's everybody's super busy right now.
[05:33.810 --> 05:34.810]  Yeah, yeah.
[05:34.810 --> 05:37.410]  I've got, I've got a kiddo, I've got friends, I'm doing a new project.
[05:37.410 --> 05:40.410]  It was hanging out with my mom earlier today for quite some time talking about Christmas
[05:40.410 --> 05:41.410]  presents and stuff.
[05:41.410 --> 05:42.410]  I don't feel good.
[05:42.410 --> 05:45.410]  So you just wrapped a killer outdoor grove session again.
[05:45.410 --> 05:46.410]  Yeah, that's true.
