[00:16.640 --> 00:19.160]  Welcome back, Cannabis community.
[00:19.160 --> 00:21.000]  It's time for episode number 291
[00:21.000 --> 00:22.880]  of the Grow From Your Heart podcast.
[00:22.880 --> 00:26.600]  Your source for cannabis news, education, and conversation.
[00:26.600 --> 00:27.760]  That's right, if you're a new grower,
[00:27.760 --> 00:29.080]  if you're a professional grower,
[00:29.080 --> 00:31.480]  you're a new smoker or a dedicated dabber.
[00:31.480 --> 00:32.760]  If you're a cannabis activist,
[00:32.760 --> 00:34.260]  or even someone who's just curious
[00:34.260 --> 00:36.120]  about the current state of cannabis,
[00:36.120 --> 00:39.040]  this, my friends, is the podcast for you.
[00:39.040 --> 00:41.080]  I'm your host, my friends call me Rasta Jeff.
[00:41.080 --> 00:43.080]  I wanna thank you guys again for joining me.
[00:43.080 --> 00:45.320]  As always, I need to send a huge thank you shout out
[00:45.320 --> 00:46.960]  to my friends in the Mystic Roots band
[00:46.960 --> 00:49.440]  for letting me use their music on my podcast.
[00:49.440 --> 00:51.280]  Big shout out to Kat, Coop,
[00:51.280 --> 00:53.540]  and the entire Mystic Roots crew.
[00:55.160 --> 00:57.120]  Ladies and gentlemen, this episode of the podcast
[00:57.120 --> 01:00.040]  is brought to you by our friends at the Hella Dank Seed Bank.
[01:00.040 --> 01:02.080]  That's right, if you need to add new seeds to your garden,
[01:02.080 --> 01:04.280]  I recommend the Hella Dank Seed Bank.
[01:04.280 --> 01:06.760]  Check them out at dankseed.store.
[01:08.840 --> 01:09.800]  All right, podcast world,
[01:09.800 --> 01:11.160]  I like to start these episodes off
[01:11.160 --> 01:13.600]  by talking about what I've been smoking on for the day,
[01:13.600 --> 01:17.760]  and today I've been dabbing the Sour Clem
[01:17.760 --> 01:19.120]  from Apothecary Extracts.
[01:19.120 --> 01:21.080]  That's right, they ran the Sour Diesel
[01:21.080 --> 01:22.520]  and the Clementine together,
[01:22.520 --> 01:24.200]  and they made a batter out of it,
[01:24.200 --> 01:26.740]  and it looks and smells and tastes amazing,
[01:26.740 --> 01:29.080]  and the head high has been perfect lately
[01:29.080 --> 01:31.060]  for what I've been trying to do.
[01:31.060 --> 01:32.960]  I wish you could smell this through the microphone.
[01:32.960 --> 01:33.840]  I'm opening it up,
[01:33.840 --> 01:35.760]  and I'm waving it at the microphone just for you,
[01:35.760 --> 01:37.560]  and you can't even smell it.
[01:37.560 --> 01:40.120]  There's a little hint of Sour Diesel in the bottom,
[01:40.120 --> 01:42.760]  but then it's got this candy Clementine terp at the top
[01:42.760 --> 01:44.280]  that is just amazing.
[01:44.280 --> 01:45.840]  The combo is perfect.
[01:45.840 --> 01:47.080]  It's been working very well
[01:47.080 --> 01:49.160]  for what I need done the past few days,
[01:49.160 --> 01:50.920]  so big shout out to our friends at Apothecary.
[01:50.920 --> 01:51.960]  They do not pay me to say that.
[01:51.960 --> 01:54.180]  I actually pay for all the concentrates that I buy.
[01:54.180 --> 01:55.960]  I just enjoy it a lot.
[01:55.960 --> 02:00.080]  Also, I just took a half gram dab of Shatter
[02:00.080 --> 02:01.800]  from Concentrate Supply Company.
[02:01.800 --> 02:04.180]  I have some lemon medicine
[02:04.180 --> 02:06.040]  that I picked up at Three Rivers.
[02:06.040 --> 02:09.600]  My mouth tastes like a watermelon and a lemon
[02:09.600 --> 02:12.720]  and another tropical fruit, and I approve.
[02:13.560 --> 02:15.080]  It was a little heavy.
[02:15.080 --> 02:16.680]  It got me a little more lit than I needed to be
[02:16.680 --> 02:19.700]  for a podcast, but I'm sure I'll be able to shake that off.
[02:19.700 --> 02:21.080]  I've got some great stuff to talk about,
