[00:01.150 --> 00:25.680]  Welcome back podcast world. I'm your host, my friends call me Rasta Jeff. This is episode
[00:25.680 --> 00:31.800]  784 of the Grow From Your Heart podcast. I've got a fun show lined up for us. Before we
[00:31.800 --> 00:36.200]  jump in, let's do a few shout outs to a few of those great folks who continue to support
[00:36.200 --> 00:41.520]  the show on Patreon. Let's kick it off with a big Grow From Your Heart podcast thank you
[00:41.520 --> 00:46.280]  shout out to 420 and the 520. Let's send a big fist bump in a thank you shout out to
[00:46.280 --> 00:50.880]  Nailed It Indoors. Let's send a big thank you shout out to my friends Tim and Amy. Let's
[00:50.880 --> 00:54.660]  send a big thank you shout out to one of my favorite photographer's, Doc grows let's send
[00:54.660 --> 00:58.960]  a fist bump in a thank you shout out to Double D and Jacob M. I want to send a big thank
[00:58.960 --> 01:03.120]  you shout out to Zard Knock. Let's send a special thank you shout out to Badlands. Let's
[01:03.120 --> 01:06.820]  send a big fist bump my buddy Philiobong. Let's send a special thank you shout out to
[01:06.820 --> 01:08.260]  Monster Mash.
[01:08.260 --> 01:12.320]  send a big thank you shout out to more turps. Then let's wrap it all up with a big grow
[01:12.320 --> 01:17.600]  from your heart podcast. Thank you. Shout out to be Bala. Big thanks and big shout out
[01:17.600 --> 01:22.980]  to everybody who continues to support the show on Patreon. If you are not already supporting
[01:22.980 --> 01:30.040]  the show and you would like to learn how to do so, all you have to do is visit www.patreon.com
[01:30.040 --> 01:34.080]  forward slash grow from your heart. All of the information you need will be right there
[01:34.080 --> 01:38.320]  on the screen. And you know, I do include a link in the show notes and in the video
[01:38.320 --> 01:43.880]  description to make it nice and easy for all of my friends to support the podcast. Before
[01:43.880 --> 01:48.080]  we get too far into the show. I want to talk about a great comedy show that I got to see
[01:48.080 --> 01:52.280]  yesterday. I want to give a shout out to my friends at comedy works for treating myself
[01:52.280 --> 01:57.080]  and Miss dread vibes like rock stars. We were treated like royalty, big up fist bump shout
[01:57.080 --> 02:01.480]  out to everybody at comedy works. Thank you for the great service, the hospitality and
[02:01.480 --> 02:05.780]  then extra thank you to all of the comedians that we did get to see last night. Everybody
[02:05.780 --> 02:10.360]  was on fire last night. It was such a great show. The show was opened up by a comedian
[02:10.360 --> 02:14.960]  known as AJ Finney. The dude was on fire. He was hilarious. We definitely connected.
[02:14.960 --> 02:18.040]  We have a lot of shit in common. If you ever go see his comedy, you will know what I'm
[02:18.040 --> 02:22.840]  talking about. The dude is called AJ Finney. Then we were greeted by a dude named Brant
[02:22.840 --> 02:27.600]  Tobler. I've seen Brant Tobler set several times. He is hilarious. And last night, he
[02:27.600 --> 02:32.000]  was on fire. He's getting even better. And then of course, the show was headlined by
[02:32.000 --> 02:39.160]  a dude called Ian finance. Ian is always super energetic, super, super hyper. It seems like
[02:39.160 --> 02:42.580]  he's on drugs, but he swears he's not. That's part of his gimmick. He says he hasn't done
[02:42.580 --> 02:46.680]  drugs in several years. I says that he just did enough to where it's still in him and
[02:46.680 --> 02:50.840]  I kind of believe it. So the show was great. Shout out to comedy works. Shout out to all
[02:50.840 --> 02:55.240]  of the performers. Shout out to the crew at comedy works for treating us like rock stars,
[02:55.240 --> 03:25.200]  extra fist bump and a big hug to miss dread vibes for making it a great evening. You guys go see some live comedy. I laughed so hard that my I don't even really have abs, but the where my abs should go though. They kind of hurt today. And I laughed so hard that there's I like was reaching to move my sunglasses on my head last night because it felt like I had to have my sunglasses on my head too long. And it because it was hurting in a weird spot. So you guys go see some comedy. Go take too many dabs in the car. Then go check out some good comedy because that is a great time. I think that's all I really wanted to ramble about here at the start of the show.
[03:25.240 --> 03:55.200]  Let's talk some business. This episode of the show is brought to you by our friends at seeds here now.com our friends at seeds here now.com are going to give away a pack of iri genetic seeds here on the podcast. We will talk more about that later in the show. I want to jump into a YouTube comment. I really like this comment. I don't read a lot of YouTube comments on the podcast here. They've got to be good comments. They do. I don't see all of the YouTube comments. There are a lot of them. I don't check them as frequently as diligently as I should maybe, but I did like this one. This one is from a friend of mine.
[03:55.240 --> 04:23.200]  This one did stand out to me. It came from our friend Zachary Johnson big up to Zachary Johnson. Thank you for listening to the podcast. My friend. It says I am loving the older episodes as much as the new episodes. Thank you. That's a reminder you guys. This is episode 784. There are 783 other episodes on YouTube that you may not have listened to. I encourage you. I invite you. I implore you. Is that the correct word here? Is that the correct use of that word? Somebody check my grammar comment about it.
[04:23.200 --> 04:53.160]  I encourage you to go listen to those old episodes just because they're old because they weren't put out today. Doesn't mean there's not a lot of gems, a lot of gold information in those podcasts. It's still very useful info, very educational, informative, and entertaining podcasting if I do say so myself. So I encourage you guys to go check out all of those older episodes. People say, hey dude, I miss you putting out two episodes a week. I used to do that. It's overwhelming. I can't do it. They say I wish there was more podcasting. There's a lot of old shit that I bet you didn't even listen to. Go check it out.
[04:53.160 --> 05:20.640]  On YouTube, it's good stuff. You will learn a lot. It also goes on to say, it's also nice to see that your opinions and methods have changed over the years, which means we are learning. Yes, absolutely. I wanted to talk about that briefly here. My opinions, my methods, my approach, my understanding has changed so much over the past few years since I started this show. I'm probably coming up on, I don't know if it's seven or eight years since I've started this podcast, 785 episodes.
[05:20.640 --> 05:50.160]  So that's at least five, six, maybe seven years I've been doing this show. If I haven't changed my ideas, my methods, my approach, my techniques, my understanding that I was not doing anything right at all, I was standing still. So I've learned so much. I've gone from being a small closet grower to a tent grower to a basement grower to a trap house grower to a semi-commercial quasi-legal commercial grower to a full-on commercial cultivator to a commercial cultivation consultant.
[05:50.640 --> 06:07.800]  I've gone a long way in my cultivation career. There was a lot of C word letters in that sentence. It was really hard not to stumble over all that. But I've been in this cultivation game for so long that if my methods, techniques, and ideas didn't change over all of those drastic shifts, I would have not gotten anywhere. I had to learn on the fly.
