[00:11.200 --> 00:23.250]  Yeah, welcome back cannabis community. It's time for episode number 92 of the Grow From
[00:23.250 --> 00:28.930]  Your Heart podcast, your source for cannabis news, education and conversation. That's right.
[00:28.930 --> 00:32.370]  If you're a new grower, if you're a professional grower, if you're a new smoker or a veteran
[00:32.370 --> 00:36.490]  dabber, if you're a cannabis activist or even someone who's just curious about the current
[00:36.490 --> 00:41.930]  state of cannabis, this my friends is the podcast for you. I'm your host, Nikomi Rastajev.
[00:41.930 --> 00:45.610]  Thanks again for joining me. As always, I need to send a huge thank you shout out to
[00:45.610 --> 00:50.010]  the Mystic Roots band for letting me play their music on the show. Big thanks to Kat,
[00:50.010 --> 00:54.170]  Coop and the entire Mystic Roots crew. How are you guys doing? I hope everyone's having
[00:54.170 --> 00:57.370]  a great week. I hope everyone's having a good Monday or whatever day it is when you're listening
[00:57.370 --> 01:03.410]  to this. I'm smoking on some dabs of some amnesia haze. I hope you are smoking something
[01:03.410 --> 01:07.050]  delicious right now. You guys, I have had a great couple of weeks. I'm going to read
[01:07.050 --> 01:10.970]  a few news articles here today. But first, I want to ramble about a few things that I
[01:11.010 --> 01:15.450]  have gotten to do this past couple of weekends. This episode is going to come out way after
[01:15.450 --> 01:19.810]  this, but the movie Straight Outta Compton recently came out. And a lot of you guys don't
[01:19.810 --> 01:24.290]  know that I actually grew up in Southern California. I grew up at the intersection of Belfar Boulevard
[01:24.290 --> 01:31.250]  and Compton Boulevard. So I was blocks away from the actual city of Compton. NWA used
[01:31.250 --> 01:36.370]  to come do record signings and appearances at a record store about a block away from
[01:36.370 --> 01:42.450]  my house. So when I was like 10 years old, I actually met Eazy-E and NWA and the whole
[01:42.450 --> 01:48.610]  NWA crew. I met Ice Cube. I met Snoop. I met MC Ren. I met Dr. Dre. There was another guy
[01:48.610 --> 01:54.770]  with them called himself DJ Speed. Yellow was there. There were a few more guys there.
[01:54.770 --> 01:59.090]  And I remember I was a little kid, but I do remember that their album was huge. I'd already
[01:59.090 --> 02:03.930]  had the Straight Outta Compton CD. I was singing Fuck the Police all day long. I was like 10
