[00:15.740 --> 00:18.240]  Welcome back, Cannabis Community.
[00:18.240 --> 00:20.200]  It's time for episode number 277
[00:20.200 --> 00:22.120]  of the Grow From Your Heart podcast.
[00:22.120 --> 00:25.780]  Your source for cannabis news, education, and conversation.
[00:25.780 --> 00:26.920]  That's right, if you're a new grower,
[00:26.920 --> 00:28.180]  if you're a professional grower,
[00:28.180 --> 00:30.640]  if you're a new smoker or a dedicated dabber,
[00:30.640 --> 00:32.260]  if you're a cannabis activist,
[00:32.260 --> 00:33.840]  or even someone who's just curious
[00:33.840 --> 00:35.760]  about the current state of cannabis,
[00:35.760 --> 00:38.620]  this, my friends, is the podcast for you.
[00:38.620 --> 00:40.480]  I'm your host, my friends call me Ross DeJeff.
[00:40.480 --> 00:42.440]  I wanna thank you guys again for joining me.
[00:42.440 --> 00:44.560]  As always, I need to send a huge thank you shout out
[00:44.600 --> 00:46.180]  to my friends in the Mystic Roots band
[00:46.180 --> 00:48.680]  for letting me use their music on my podcast.
[00:48.680 --> 00:50.360]  Big shout out to Kat, Coot,
[00:50.360 --> 00:52.820]  and the entire Mystic Roots crew.
[00:54.460 --> 00:56.240]  Hey Mike, are you all right over there, bro?
[00:56.240 --> 00:57.080]  Yep.
[00:57.080 --> 00:58.000]  I just gave Mike a dab.
[00:58.000 --> 00:59.720]  Well, Mike gave himself a dab.
[00:59.720 --> 01:04.480]  And he's purple, pink, yellow.
[01:04.480 --> 01:06.600]  He tried to lean into the mic and say some shit,
[01:06.600 --> 01:09.460]  and all that came out was, I hum-rum-rum.
[01:09.460 --> 01:10.480]  It hit the right spots.
[01:10.480 --> 01:11.880]  That dab hit the right spots.
[01:11.880 --> 01:14.440]  It looks like it hit you in the face.
[01:15.280 --> 01:16.120]  That was one of the spots.
[01:16.120 --> 01:17.840]  Welcome to the show, ladies and gentlemen.
[01:17.840 --> 01:18.680]  What up, everybody?
[01:18.680 --> 01:19.520]  I am not abusing Mike.
[01:19.520 --> 01:20.400]  We are hanging out.
[01:20.400 --> 01:23.280]  It looks like Mike got beat up by a dab just now.
[01:23.280 --> 01:24.120]  Are you good, bro?
[01:24.120 --> 01:24.940]  Should we leave your mic on,
[01:24.940 --> 01:25.780]  or do you want me to turn it back off for a minute?
[01:25.780 --> 01:26.620]  Should be good.
[01:26.620 --> 01:27.440]  All right, all right.
[01:27.440 --> 01:29.080]  Welcome to the show.
[01:29.080 --> 01:30.640]  So let's start off by,
[01:30.640 --> 01:32.360]  since Mike just took a big dab and is talking,
[01:32.360 --> 01:33.480]  welcome to the show, Mike.
[01:33.480 --> 01:34.480]  Thanks, man.
[01:34.480 --> 01:36.480]  Do you want to share your social media with everybody
[01:36.480 --> 01:37.560]  so that they can stalk you
[01:37.560 --> 01:39.640]  while they listen to your handsome voice?
[01:39.640 --> 01:40.960]  If you wanna find me on social media,
[01:40.960 --> 01:44.880]  you can check me out on Twitter at atnemopunk15,
[01:44.880 --> 01:48.880]  or on Facebook at Pueblo for Sensible Cannabis Laws.
[01:48.880 --> 01:50.720]  Yeah, I like to challenge you right after you take a dab.
[01:50.720 --> 01:53.040]  Make sure the brains and lungs are working.
[01:53.040 --> 01:53.880]  Put you to the test.
[01:53.880 --> 01:55.000]  It didn't feel like the lungs were gonna make it
[01:55.000 --> 01:58.160]  through all of that sentence, but they made it.
[01:58.160 --> 01:59.480]  Congrats, you made it.
[01:59.480 --> 02:00.360]  Made it.
[02:00.360 --> 02:03.040]  Ladies and gentlemen, welcome to a bonus episode.
[02:03.040 --> 02:03.880]  Bonus.
[02:03.880 --> 02:04.720]  Bonus.
[02:04.720 --> 02:05.540]  We're putting out another episode.
[02:05.540 --> 02:07.080]  This is, since I numbered at 277,
[02:07.080 --> 02:08.520]  it's gonna have to come out before Thursday,
[02:08.520 --> 02:10.920]  because Thursday, I think, is 278.
[02:11.760 --> 02:13.160]  If I'm paying attention to the numbers correctly.
[02:13.160 --> 02:16.040]  So, happy bonus episode, ladies and gentlemen.
[02:16.040 --> 02:18.120]  It's always a good week when we got two episodes
[02:18.120 --> 02:19.320]  of the Grow From Your Heart podcast.
[02:19.320 --> 02:22.520]  Well, this'll be three, because we got the Thursday show,
[02:22.520 --> 02:25.520]  the Monday show, and the bonus white mic episode.
[02:25.520 --> 02:26.360]  Woo.
[02:26.360 --> 02:27.600]  Hey, big shout out to everybody that just hung out
[02:27.600 --> 02:28.760]  with us on Instagram Live.
[02:28.760 --> 02:30.600]  If you're not following me on Instagram Live,
[02:30.600 --> 02:31.600]  I encourage you to do so.
[02:31.600 --> 02:32.760]  Go to Instagram and search for me.
[02:32.760 --> 02:35.860]  It's irie, I-R-I-E underscore genetics.
[02:35.860 --> 02:36.700]  Check us out.
[02:36.700 --> 02:38.400]  You can interact with Instagram Live feeds.
[02:38.400 --> 02:40.680]  I actually wrote down a couple of notes from the Live feed
[02:41.440 --> 02:43.280]  that will become podcast material.
[02:43.280 --> 02:44.120]  So, come hang out.
[02:44.120 --> 02:45.440]  Good questions today.
[02:45.440 --> 02:47.840]  Yeah, yeah, ask some questions, leave some comments,
[02:47.840 --> 02:48.960]  and interact with me.
[02:48.960 --> 02:50.680]  I do appreciate the interaction.
[02:50.680 --> 02:52.440]  All right, I usually like to start the podcast off
[02:52.440 --> 02:54.280]  by telling you guys what we're smoking on.
[02:54.280 --> 02:56.320]  Mike, what did you just take a dab over there, bro?
[02:56.320 --> 02:58.520]  That was some Footloose from Apothecary.
[02:58.520 --> 03:00.220]  Some Footloose batter.
[03:00.220 --> 03:02.080]  That stuff was stinky.
[03:02.080 --> 03:03.240]  Oh, it's wonderful.
[03:03.240 --> 03:04.920]  It's wonderful.
[03:04.920 --> 03:05.760]  He's just lit.
[03:05.760 --> 03:07.040]  He's thinking about ways to describe it,
[03:07.040 --> 03:08.880]  and wonderful is all he's fucking got for us.
[03:09.400 --> 03:11.560]  Really nice body high, not a whole lot of head high.
[03:11.560 --> 03:14.440]  Didn't want to get too jumbled for this week's show,
[03:14.440 --> 03:17.520]  but can't go with no hash.
[03:17.520 --> 03:18.600]  That's the truth.
