[00:17.020 --> 00:19.540]  Welcome back, Cannabis community.
[00:19.540 --> 00:22.980]  It's time for episode number 192 of the Grow From Your Heart podcast.
[00:23.060 --> 00:27.140]  You're a source for cannabis news, education, and conversation. That's right.
[00:27.140 --> 00:29.100]  If you're a new grower, if you're a professional grower,
[00:29.260 --> 00:32.860]  if you're a new smoker or a dedicated dabber, if you're a cannabis activist,
[00:32.980 --> 00:35.860]  or even someone who's just curious about the current state of cannabis,
[00:36.220 --> 00:40.660]  this my friends is the podcast for you. I'm your host. My friends call me,
[00:40.660 --> 00:43.780]  Rasta Jeff. I want to thank you guys again for joining me. As always,
[00:43.820 --> 00:46.580]  I need to send a huge thank you shout out to my friends in the Mystic Roots
[00:46.580 --> 00:50.140]  band for letting me use their music on my podcast. Big thanks to Kat,
[00:50.660 --> 00:55.580]  Coot and the entire Mystic Roots crew. Ladies and gentlemen,
[00:55.580 --> 00:58.660]  Mike is on the podcast, but as we were doing the intro music,
[00:58.660 --> 01:03.580]  he took a little tiny micro dab and he gave me the kill the mic sign and his
[01:03.580 --> 01:05.540]  microphones turned off. I don't know where the fuck he went.
[01:05.540 --> 01:10.100]  He rambled off somewhere into my house. He's wandering around somewhere,
[01:10.100 --> 01:13.020]  bathroom, living room area. Oh, he has emerged through the clouds of smoke.
[01:13.020 --> 01:17.420]  There is Mike. He's a several shades of pink and purple, but he will be back.
[01:17.660 --> 01:19.340]  White Mike is on the podcast with us today.
[01:19.340 --> 01:22.580]  Everybody laugh at white Mike for taking too big of a dab and changing colors.
[01:23.300 --> 01:24.420]  He just headed to the men's room.
[01:24.500 --> 01:26.540]  We'll find out what happened to Mike in a couple of seconds.
[01:26.540 --> 01:29.060]  If he doesn't make it back by the time the song's over,
[01:29.420 --> 01:32.580]  we might go look for him. Ladies and gentlemen, thank you for joining me.
[01:33.300 --> 01:36.140]  I had to take a little break from trimming. I've been trimming ganja all day.
[01:36.260 --> 01:39.460]  Been trimming some grateful dog. Smells delicious.
[01:39.500 --> 01:42.860]  It was grown with a veg bloom nutrients. I gotta say,
[01:42.860 --> 01:46.300]  I'm impressed veg bloom nutrients with a little mammoth microbes thrown in there.
[01:47.060 --> 01:50.380]  I added a few extra things, but uh, I'm impressed. It smells good.
[01:50.460 --> 01:53.220]  I got a different color purple out of this that I've never seen.
[01:53.740 --> 01:56.340]  Usually this grateful dog, that's my cut of grateful dog.
[01:56.340 --> 01:58.500]  You guys have strained that I bred. This is the keeper I selected.
[01:59.020 --> 02:02.020]  Usually it makes a kind of a dark purple pine cone shaped,
[02:02.020 --> 02:05.340]  but this time it was really light purple and it made longer spears.
[02:05.860 --> 02:08.220]  I don't know the final weight yet cause I'm not done trimming it.
[02:08.740 --> 02:13.180]  I will know probably by the end of tomorrow we'll know if it increased or
[02:13.180 --> 02:15.580]  reduced my harvest weight. We'll find out soon enough.
[02:16.420 --> 02:18.300]  I had to take a break from trimming. Just gonna hand cramp.
[02:21.060 --> 02:23.740]  I'm glad Mike's here. I'm gonna make him trim with me. If he survived that dad,
[02:23.780 --> 02:27.820]  there he is. Mike's coming back. Yeah. All right. I'll turn your mic on bro.
[02:27.900 --> 02:28.740]  How you doing over there, man?
[02:28.940 --> 02:31.820]  I'm a lot good and slide that Mike kind of inferny a little bit.
[02:31.820 --> 02:33.420]  You guys are gonna hear some bumps and scrapes and shit.
[02:33.420 --> 02:36.140]  He's just moving a microphone stand. You can cough on the show.
[02:36.140 --> 02:38.260]  That's acceptable. I just bumped my hand on the chair.
[02:38.260 --> 02:40.780]  That kind of hurt a little bit. Welcome to the show, bro. How you doing?
[02:40.980 --> 02:44.420]  Doing good, man. All right guys. Make sure while Mike coughs it off,
[02:44.420 --> 02:46.780]  make sure you follow Mike on Twitter. It's at emo punk 15.
[02:46.780 --> 02:50.740]  Also check out Pueblo for sensible cannabis laws. That's Mike's Facebook group.
[02:50.740 --> 02:53.260]  Nailed it buddy. Yeah. I tried to help you out, man. Thank you.
[02:53.460 --> 02:56.540]  While you're over there getting your color back, wiping the sweat off your face.
[02:58.220 --> 03:00.500]  All right. I think Mike's alive. Ladies and gentlemen,
[03:01.420 --> 03:05.020]  we spoiled the people last week. Mike, they got three podcasts,
[03:05.580 --> 03:09.180]  content, crazy content. Crazy is what he was trying to say.
[03:09.180 --> 03:13.500]  Monday choking and drinking at the same time. Sorry folks. Give me a second.
[03:13.500 --> 03:16.380]  I'll be all good to go. Mike, you're cool. Get your, get your color back,
[03:16.380 --> 03:18.940]  get your voice back. And when, when you're back there, you can jump on it.
[03:18.940 --> 03:21.060]  And your mic is on buddy. Don't, don't, don't, don't worry.
[03:21.060 --> 03:22.500]  We're going to use you in just a couple of minutes.
[03:22.500 --> 03:25.660]  We're going to talk about some laws and some adjustments to some proposed laws.
[03:25.660 --> 03:28.620]  And that's when Mike will be super useful. Three episodes last week.
[03:28.620 --> 03:30.900]  I hope you guys caught all three of them. Dude loved it.
[03:31.020 --> 03:34.220]  Did the normal Monday episode. Mike joined me for that one. No,
[03:34.260 --> 03:36.620]  it was a Wednesday. I did normal Monday episode by myself.
[03:36.860 --> 03:41.220]  Dropped a Wednesday episode with Mike on Wednesday. Then Thursday I did the old,
[03:41.460 --> 03:44.220]  the revisited damn bro. You're still coughing and turning colors.
[03:46.740 --> 03:50.780]  You need to quit smoking those cigarettes, bro. Yeah. Cigarettes are the devil.
[03:50.820 --> 03:54.500]  Slavery in a box. I've got a dab right. Coming up here in a minute.
[03:54.540 --> 03:57.860]  Oh, Mike's going to Mexico. He's going to have to not take. Yeah.
[03:57.860 --> 04:00.660]  Be careful, dude. Come back with your head. That's all I ask. Right.
[04:01.300 --> 04:04.100]  You taking baby? Yep. Oh man. It's going to be fun. Oh,
[04:04.100 --> 04:06.500]  it's going to be nice. Little man's first trip to out of the country.
[04:06.500 --> 04:10.740]  First trip anywhere. First trip anywhere. Hospital in Denver. Yep. Oh man.
[04:10.780 --> 04:14.260]  It's going to be a fun time. Oh yeah. Good luck on that. Good luck on that.
[04:14.260 --> 04:17.740]  So sober break. Right. I'm sure. I'm sure there's some, uh,
[04:17.740 --> 04:21.220]  some tequila in the hotel. International travel with a two year old.
[04:21.940 --> 04:26.900]  I get all of my family for the first time in like 15 years and I get sober.
[04:27.540 --> 04:30.980]  You have a big, weird smile on your face for your birthday.
[04:31.260 --> 04:34.380]  It's going to be a fun next couple of days. When you get back,
[04:35.260 --> 04:37.900]  come hang out with Rasta Jeff and we won't record.
[04:37.900 --> 04:40.540]  We'll just get you so high that you don't stop coughing.
[04:40.540 --> 04:42.180]  After my last little break,
[04:42.580 --> 04:47.140]  one little hit on the bowl that I had left on my desk when we left for the trip
[04:47.620 --> 04:51.660]  was all it took to green me out for the day. So we are way off topic,
[04:51.660 --> 04:55.020]  but I like that. Uh, how much at this point in time,
[04:55.020 --> 04:59.860]  how much do you normally consume? And I'm going to ask a followup question. Uh,
[04:59.900 --> 05:01.220]  but I'm going to ask it before I forget.
[05:01.220 --> 05:04.860]  Is that based on budget or does that satisfy your need?
[05:05.780 --> 05:10.060]  Um, I'm lucky I found a way to do both. Okay.
[05:10.340 --> 05:13.620]  Um, I stockpile when I'm able.
[05:14.420 --> 05:15.260]  And there you go.
[05:15.300 --> 05:18.700]  Some of it for long time listeners or regular listeners are familiar with my
[05:18.700 --> 05:22.060]  vintage vintage hash collection now. Um,
[05:22.620 --> 05:24.020]  yeah, Mike's kind of a hash hoarder.
[05:24.820 --> 05:27.940]  I stock up and now I've got hash. It's like a year and a half old.
[05:30.300 --> 05:32.220]  Oh, it's wonderful. Gets me crazy high.
[05:32.260 --> 05:37.100]  And some of the stuff that breaks down as it ages is really effective
[05:37.100 --> 05:37.940]  medically.
[05:37.940 --> 05:40.340]  Okay. I'm sure it changes with the cannabinoids changes.
[05:40.340 --> 05:41.740]  They break down and as it gets older,
[05:41.740 --> 05:46.340]  Stoney, but a little more medically active, but uh,
[05:47.780 --> 05:49.700]  I don't know, daily consumption or.
[05:50.060 --> 05:51.860]  Yeah. How much do you smoke on a normal day?
[05:51.980 --> 05:54.660]  Unless I'm hurting from something specific. Like I,
[05:54.660 --> 05:57.780]  I did something and really hurt my back or something, uh,
[05:57.780 --> 05:59.900]  to just manage the, my normal pain,
[06:00.620 --> 06:03.700]  usually around a gram of flour a day with
[06:05.580 --> 06:09.780]  anywhere between like one and five or seven dabs thrown in throughout the
[06:09.780 --> 06:11.660]  course. I mean, tiny little me dabs.
[06:11.700 --> 06:13.260]  Little tiny micro Mike dabs.
[06:13.340 --> 06:16.900]  Yep. Throughout the day. Um, if I'm doing nothing all day,
[06:17.140 --> 06:21.540]  like if it's just a me day and I can kind of go with the flow and I'm not
[06:21.540 --> 06:24.940]  trying to, to do nothing all day and just medicate.
[06:25.340 --> 06:27.340]  Cause I can go through a lot more than that.
[06:28.500 --> 06:33.500]  All right. So one gram of flour and seven dabs throughout the day.
[06:34.340 --> 06:37.580]  Like seven dabs would be like, I was dabbing a lot that day. Okay.
[06:37.620 --> 06:41.500]  So probably today, the one I'm coughing on is my third dab of the day.
[06:41.940 --> 06:45.820]  Oh, okay. And you took two of those here. Yep. All right. Okay.
[06:45.820 --> 06:47.620]  So you got through and it's almost nine o'clock at night.
[06:47.620 --> 06:50.860]  The only reason I took another one today is because a friend came by the house
[06:50.860 --> 06:52.980]  real quick and was like, what a dab real quick. Nice.
[06:53.260 --> 06:55.100]  Shout out to whoever dabbed out Mike. Yep.
[06:56.740 --> 07:00.620]  But yeah, it's, it's typically mostly flour until I'm, I mean, nine or 10.
[07:01.740 --> 07:04.540]  Okay. And until the kid goes to bed and things get calm,
[07:04.660 --> 07:09.140]  the kid gets to bed and then I get like the stuff around the house done that
[07:09.140 --> 07:12.300]  like, I can't do all, I'm also caring for him. Yeah.
[07:12.340 --> 07:16.420]  So there's usually some scrambling. Yeah. Right. Dishes, laundry,
[07:16.420 --> 07:18.540]  anything that requires more than three fingers. Yeah.
[07:19.060 --> 07:22.460]  That sounds weird. Like 5% of your thought. Yeah.
[07:22.540 --> 07:24.340]  Anything you gotta pay too much attention to. Yep.
[07:24.380 --> 07:26.100]  Anything that can't handle itself.
[07:26.180 --> 07:30.260]  You gotta wait till he goes down to take care of the most part. Um,
[07:30.300 --> 07:32.180]  and as soon as I get that stuff wrapped up,
[07:32.220 --> 07:35.420]  like I can chill and dab and relax and enjoy my day.
[07:35.580 --> 07:38.780]  So you're smoking a gram of flour and probably on average,
[07:38.780 --> 07:43.180]  sounds closer to five dabs a day maybe. And your dabs,
[07:43.380 --> 07:46.140]  a gram could last you two weeks at the rate you dab.
[07:46.260 --> 07:47.500]  Well, I, the,
[07:47.540 --> 07:51.580]  that's the other trick with trying to convert the number of dabs I take in a
[07:51.580 --> 07:56.380]  given time period to a weight is I've got like 50 or 60 different
[07:56.380 --> 07:59.820]  grams that I'm actively dabbing from.
[08:00.380 --> 08:04.460]  And so one dab from here, one dab from there, one dab from over here.
[08:05.180 --> 08:08.580]  I've never taken the time to weigh out one of my dabs at home.
[08:08.580 --> 08:09.420]  So I really can't.
[08:10.580 --> 08:14.460]  Like 0.09 like not even 0.1.
[08:14.900 --> 08:15.860]  Yeah. They're pretty small.
[08:15.900 --> 08:18.100]  0.05 maybe they're a little dabs.
[08:18.500 --> 08:22.380]  Um, they've been getting bigger. Um,
[08:22.500 --> 08:26.180]  but uh, I, I usually go pretty small, just my lungs.
[08:26.180 --> 08:27.260]  Don't like the big hot ones.
[08:27.340 --> 08:29.300]  And you guys, some, some listeners are going to wait.
