[00:00.060 --> 00:01.060]  Let's do it.
[00:01.060 --> 00:02.060]  Yeah.
[00:02.060 --> 00:03.060]  Yo, check it out.
[00:03.060 --> 00:04.060]  7-10, a big disaster in July.
[00:04.060 --> 00:05.060]  Look out!
[00:05.060 --> 00:06.060]  Bombs are going off.
[00:06.060 --> 00:07.060]  We whip the batter till it's dry.
[00:07.060 --> 00:08.060]  Uh-huh.
[00:08.060 --> 00:09.060]  I love my butter on another matter.
[00:09.060 --> 00:10.060]  Why?
[00:10.060 --> 00:11.060]  Cause the tip the dabber tends to chip the shatter in my eye.
[00:11.060 --> 00:12.060]  Ow!
[00:12.060 --> 00:13.060]  Mics, I'm set to scorch.
[00:13.060 --> 00:14.060]  Forget the dome as well.
[00:14.060 --> 00:15.060]  Cause I'm a vector torch and the microphone's a nail.
[00:15.060 --> 00:16.060]  Yeah.
[00:16.060 --> 00:17.060]  I'm the truth.
[00:17.060 --> 00:18.060]  All you liars go to hell.
[00:18.060 --> 00:19.060]  Every time I grab the mic it's like a giant show and tell.
[00:19.060 --> 00:20.060]  Well, today I brought this.
[00:20.060 --> 00:21.060]  We've been doing this since way back.
[00:21.060 --> 00:22.060]  Way back.
[00:22.060 --> 00:23.060]  I used to get in trouble for this.
[00:23.060 --> 00:24.060]  I used to get in trouble for this.
[00:25.060 --> 00:26.060]  I used to get A's until I blazed them.
[00:26.060 --> 00:27.060]  My grades slacked.
[00:27.060 --> 00:28.060]  Went to college and acknowledged that I hated that route.
[00:28.060 --> 00:29.060]  So I backed out and I doubt I'll ever make it back.
[00:29.060 --> 00:30.060]  I see the way you act.
[00:30.060 --> 00:31.060]  Cut the jealous crap.
[00:31.060 --> 00:32.060]  Something's fishy here.
[00:32.060 --> 00:33.060]  I think I smell a rat.
[00:33.060 --> 00:34.060]  This is our house, but we ain't gotta tell them that.
[00:34.060 --> 00:35.060]  Let's leave them at the front door yelling at the welcome mat.
[00:35.060 --> 00:36.060]  Come on everybody, get another dab pat.
[00:36.060 --> 00:37.060]  Same routine, slightly different from the last track.
[00:37.060 --> 00:38.060]  A million subscribers, a million views.
[00:38.060 --> 00:39.060]  I'm a vector torch and the microphone's a nail.
[00:39.060 --> 00:40.060]  Yeah.
[00:40.060 --> 00:41.060]  I'm the truth.
[00:41.060 --> 00:42.060]  All you liars go to hell.
[00:42.060 --> 00:43.060]  Every time I grab the mic it's like a giant show and tell.
[00:43.060 --> 00:44.060]  Well, today I brought this.
[00:44.060 --> 00:45.060]  We've been doing this since way back.
[00:45.060 --> 00:46.060]  Way back.
[00:55.060 --> 00:57.060]  You don't like my dabbing songs.
[00:57.060 --> 00:58.060]  You can kiss my ass crack.
[00:58.060 --> 00:59.060]  Come on everybody, drop another huge bomb.
[00:59.060 --> 01:00.060]  420 Kane, 710.
[01:00.060 --> 01:01.060]  It's time to move on.
[01:01.060 --> 01:02.060]  Upgrade your tolerance.
[01:02.060 --> 01:07.100]  Yo what's up ladies and gentlemen.
[01:07.100 --> 01:11.460]  Welcome to episode number 25 of the I Grow Culture Podcast.
[01:11.460 --> 01:13.620]  I'm your host Ross DeJeff.
[01:13.620 --> 01:15.740]  Thanks again for joining me for the 25th episode.
[01:15.740 --> 01:17.060]  I'm so excited to be here.
[01:17.060 --> 01:20.660]  Big shout out to Taskrock for letting me play his tracks in the background.
[01:20.660 --> 01:24.180]  You're listening to TASK & LINUS at 710 The Movement.
[01:24.180 --> 01:26.900]  Tonight we have Kevin and Adam over here.
[01:26.900 --> 01:27.900]  What's up guys?
[01:27.900 --> 01:28.900]  It's been a while.
[01:28.900 --> 01:29.900]  What is up?
[01:29.900 --> 01:31.500]  Kevin looks like he's having a seizure while he's trying to dance.
[01:31.500 --> 01:32.980]  It's some funny shit to watch.
[01:32.980 --> 01:35.700]  I looked up from the recording equipment and...
[01:35.700 --> 01:36.700]  I'm white.
[01:36.700 --> 01:37.700]  What can I say?
[01:37.700 --> 01:39.860]  Yeah, I think you're doing the Humpty dance.
[01:39.860 --> 01:41.620]  It might have been what that was.
[01:41.620 --> 01:43.180]  It was getting there.
[01:43.180 --> 01:46.380]  You look like MC Hammer on crack, Humpty.
[01:46.380 --> 01:47.380]  Yeah.
[01:47.380 --> 01:50.620]  I gotta catch my breath from some dabs we took, but we're gonna have a great time.
[01:51.580 --> 01:52.580]  It's the 25th episode.
[01:52.580 --> 01:53.580]  I'm excited.
[01:53.580 --> 01:54.580]  This is cool.
[01:54.580 --> 01:55.580]  So what are you guys doing?
[01:55.580 --> 01:56.580]  How are you guys, man?
[01:56.580 --> 01:57.580]  What's going on?
[01:57.580 --> 01:58.580]  Great.
[01:58.580 --> 01:59.580]  I'm pumped, man.
[01:59.580 --> 02:00.580]  Ready and glad to be here for 25.
[02:00.580 --> 02:01.580]  You just showed up, bro.
[02:01.580 --> 02:02.580]  Thanks for getting here right on time.
[02:02.580 --> 02:03.580]  Running a little late.
[02:03.580 --> 02:05.380]  Things are pretty crazy at the Hut.
[02:05.380 --> 02:06.380]  That's all right.
[02:06.380 --> 02:08.900]  It gave Kevin and I some time to take some dabs and hang out.
[02:08.900 --> 02:09.900]  At the Hut.
[02:09.900 --> 02:10.900]  Did you call it the Hut?
[02:10.900 --> 02:11.900]  Oh, the Hut.
[02:11.900 --> 02:12.900]  Not your house, the Hut.
[02:12.900 --> 02:13.900]  No, no.
[02:13.900 --> 02:14.900]  The actual Hut.
[02:14.900 --> 02:15.900]  Jabba owns it.
[02:15.900 --> 02:16.900]  Jabba owns that Hut.
[02:16.900 --> 02:17.900]  Word.
[02:17.900 --> 02:21.740]  I should mention that we've got the email set up next to us on the Eric Ross 4.0 rig.
[02:21.740 --> 02:24.860]  So say hello to the email, ladies and gentlemen.
[02:24.860 --> 02:26.620]  That's the email talking back to you.
[02:26.620 --> 02:28.100]  It'll be doing a lot of work tonight.
[02:28.100 --> 02:29.100]  All right.
