[00:18.810 --> 00:25.670]  Yeah, welcome back podcast world. I'm your host. My friends call me Rasta Jeff and this is episode
[00:27.150 --> 00:31.190]  676 of the grow from your heart podcast in this episode
[00:31.190 --> 00:35.230]  I'm going to focus on a couple of patreon questions before we get to that part of the show
[00:35.310 --> 00:39.890]  Let's do a few shoutouts to a few of the great folks who support the show on patreon
[00:40.170 --> 00:44.470]  Let's start off with a big grow from your heart podcast. Thank you. Shout out to Jessica K
[00:44.810 --> 00:48.870]  I want to send a thank you. Shout out to Nick a let's send a big fist bump and a thank you
[00:48.870 --> 00:54.210]  Shout out to Blackhawks fan. I want to send a thank you. Shout out to a longtime supporter pack Northwest Dan
[00:54.430 --> 00:57.110]  Let's send a thank you. Shout out to my good friend lefties farm
[00:57.150 --> 01:01.670]  Let's send a thank you shout out on a fist bump to Nick P. Let's follow that up with a thank you
[01:01.670 --> 01:05.350]  Shout out to my buddy mister. Let's send another. Thank you. Shout out to Kanna Reaper
[01:05.570 --> 01:08.150]  Let's send a fist bump and a thank you. Shout out to Frankie
[01:08.190 --> 01:10.710]  I want to send a big thank you shout out to Rasa Fah
[01:10.710 --> 01:13.930]  Then let's wrap it all up with the big grow from your heart podcast
[01:13.930 --> 01:15.930]  Thank you shout out to Ivan M
[01:16.330 --> 01:22.410]  Big thanks and big shout out to everybody who continues to support the show on patreon if you are not already
[01:22.530 --> 01:26.250]  Supporting the show and you would like to learn how to do so all you have to do is visit
[01:27.250 --> 01:29.250]  www.patreon.com
[01:29.530 --> 01:33.770]  Forward slash grow from your heart all of the information you need is right there on the screen
[01:33.770 --> 01:38.050]  And you know I do include a link in the show notes and in the video
[01:38.770 --> 01:45.330]  Description this is also the part of the show where I do invite you to join the discord server. We're at approximately
[01:45.930 --> 01:47.890]  1,500 members on the discord server
[01:47.890 --> 01:52.750]  I think you would have a good time over there come join us if you like the podcast if you like my
[01:52.850 --> 01:59.110]  Ramblings if you're into growing ganja if you're into growing from seed if you're into growing from clone if you're into the cannabis community
[01:59.110 --> 02:05.210]  I think my discord server is a great spot for you come join the server come join the party. We're smoking out
[02:05.210 --> 02:09.210]  We're talking about growing. We're doing yoga over there. We're talking about sports
[02:09.210 --> 02:12.730]  We're talking about all kinds of great stuff come join us on the discord server
[02:12.730 --> 02:17.930]  There is a link in the show notes and in the video description and once again big shout out to everybody
[02:18.010 --> 02:23.410]  Who hangs out on the discord server it wouldn't be quite the same without you there alright?
[02:23.410 --> 02:24.810]  Where do we go from here?
[02:24.810 --> 02:28.930]  I get to talk about being in the greenhouse if you've been watching the show
[02:28.930 --> 02:32.610]  I'm sure you have heard me talk about the greenhouse project. I've got going on. That's right
[02:32.610 --> 02:36.650]  I did some breeding in a greenhouse. I was at the greenhouse earlier today
[02:36.690 --> 02:39.770]  My fingers are still sticky my arm hair is still sticky
[02:39.810 --> 02:47.290]  But I am super excited because the seeds that are happening in that greenhouse are almost ready. They're getting super hard
[02:47.290 --> 02:53.210]  They're getting a nice dark color to them. They're getting some tiger stripes. They look really really good. I'm really excited
[02:53.610 --> 03:00.570]  So pretty soon we will have some outdoor bred iri genetic seeds. I was amazed I've talked about this before on the show
[03:00.570 --> 03:03.050]  I'm just kind of talking about it again because I'm excited
[03:03.050 --> 03:07.810]  I like to give you guys updates on what's going on with my projects bring you in make you feel included
[03:07.810 --> 03:13.370]  But I am super excited those plants happened much more quickly than I expected it to happen
[03:13.370 --> 03:19.250]  They were ready for pollen earlier than I anticipated the pollen dumped earlier than anticipated
[03:19.690 --> 03:21.850]  The seeds hardened up much more quickly
[03:22.450 --> 03:25.050]  So I learned a lot this year with our inaugural
[03:25.410 --> 03:29.690]  Outdoor run people have been asking a lot of questions since I've been hinting about what I put out there
[03:29.690 --> 03:32.730]  I'll give you a couple of a couple of ideas of what went out there this year
[03:32.730 --> 03:36.890]  I did put an arise male the King Solomon male was in the greenhouse
[03:36.890 --> 03:41.370]  So everything that got pollinated was pollinated by King Solomon
[03:41.370 --> 03:44.930]  The first male that I should talk about that we put out there was the platinum tangy
[03:44.930 --> 03:49.010]  Why did I put platinum tangy out there because that makes sun kiss seeds?
[03:49.010 --> 03:54.210]  I'm very familiar with the platinum tangy plant and I'm very familiar with the sun kiss cross
[03:54.370 --> 04:00.090]  So I'll be able to tell what that platinum tangy plant is doing outdoors compared to what it does indoors
[04:00.130 --> 04:04.370]  Then once the seeds are made I've got plenty of that makes sun kisses what that makes
[04:04.370 --> 04:09.610]  I've got plenty of sun kiss seeds that were made indoors. Now. I've got sun kiss made outdoors
[04:09.610 --> 04:15.450]  Now the next move is to grow both of those in similar conditions and see if the outdoor produced seeds
